,,Missing,Overall
n,,,7750657
"mortality, n (%)",0,,6391787 (82.5)
"mortality, n (%)",1,,1358870 (17.5)
"spo2, mean (SD)",,1505669,97.6 (459.8)
"pao2, mean (SD)",,7400453,156.4 (5853.2)
"pf_ratio, mean (SD)",,7748157,274.6 (156.8)
"sf_ratio, mean (SD)",,6717019,225.3 (56.4)
"ards_severity, n (%)",Mild,,788355 (10.2)
"ards_severity, n (%)",Moderate,,156864 (2.0)
"ards_severity, n (%)",Non-ARDS,,85430 (1.1)
"ards_severity, n (%)",None,,6717093 (86.7)
"ards_severity, n (%)",Severe,,2915 (0.0)
"nmb_used, n (%)",0,,7729812 (99.7)
"nmb_used, n (%)",1,,20845 (0.3)
"prone_flag, n (%)",0,,7748032 (100.0)
"prone_flag, n (%)",1,,2625 (0.0)
"new_tracheostomy, n (%)",0,,7749554 (100.0)
"new_tracheostomy, n (%)",1,,1103 (0.0)
"height_cm, mean (SD)",,7730647,169.0 (15.3)
"weight_kg, mean (SD)",,7452906,88.2 (22.3)
